Genotype,Temperature(°C),Round,Individual,B1,B2,"Meristem length, mm","Growth zone length, mm","Elongation zone length, mm",B-raw,B,,
phot1-5/2-1,15,3,2,0.015,0.222,0.93,2.45,1.52,0.237,23.7,,
phot1-5/2-1,15,3,3,0.02,0.34,0.76,1.8,1.04,0.36,36,,
phot1-5/2-1,15,3,4,0.018,0.298,0.8,2,1.2,0.316,31.6,0.85025,
phot2-1 ,15,1,1,0.016,0.27,0.775,2.1,1.325,0.286,28.6,,
phot2-1 ,15,1,2,0.01,0.312,0.74,2.05,1.31,0.322,32.2,,
phot2-1 ,15,1,3,0.007,0.279,0.83,2.16,1.33,0.286,28.6,,
phot2-1 ,15,1,4,0.01,0.3,0.86,2.22,1.36,0.31,31,,
phot2-1 ,15,1,5,0.005,0.339,0.77,2.3,1.53,0.344,34.4,,
phot2-1 ,15,1,7,0.005,0.215,0.81,1.99,1.18,0.22,22,,
phot2-1 ,15,1,8,0.03,0.27,0.94,1.91,0.97,0.3,30,,
phot2-1 ,15,1,9,0.012,0.27,0.84,2.37,1.53,0.282,28.2,,
phot2-1 ,15,1,10,0.042,0.215,1,1.81,0.81,0.257,25.7,,
phot2-1 ,15,1,11,0.02,0.24,0.99,1.9,0.91,0.26,26,,
phot2-1 ,15,1,12,0.02,0.245,0.61,1.65,1.04,0.265,26.5,0.833181818,
pif5,15,1,1,0.004,0.335,0.58,0.94,0.36,0.339,33.9,,
pif5,15,1,2,0.006,0.4,0.51,0.88,0.37,0.406,40.6,,
pif5,15,1,3,0.003,0.321,0.56,1.14,0.58,0.324,32.4,,
pif5,15,1,4,0.002,0.297,0.58,1.02,0.44,0.299,29.9,,
pif5,15,2,1,0.005,0.21,1.01,1.41,0.4,0.215,21.5,,
pif5,15,2,2,0.002,0.21,0.75,2.07,1.32,0.212,21.2,,
pif5,15,2,3,0.005,0.38,0.82,1.148,0.328,0.385,38.5,,
pif5,15,2,4,0.002,0.281,0.781,1.54,0.759,0.283,28.3,,
pif5,15,3,1,0.003,0.35,0.69,1.29,0.6,0.353,35.3,,
pif5,15,3,2,0.003,0.246,0.8,2.29,1.49,0.249,24.9,,
pif5,15,3,3,0.03,0.29,0.46,1.46,1,0.32,32,,
pif5,15,3,4,0.003,0.405,0.76,1.395,0.635,0.408,40.8,0.69175,
shy2-2,15,1,1,0.005,0.23,0.91,1.86,0.95,0.235,23.5,,
shy2-2,15,1,2,0.035,0.33,0.75,1.88,1.13,0.365,36.5,,
shy2-2,15,1,3,0.02,0.25,0.81,1.53,0.72,0.27,27,,
