Plate,Individual,Genotype,Temperature,Laterals,Cell_Length,Root_Growth,Cell_Production
3,3,phot1-5,15C,,0.188,5.50072631,29.2591825
3,4,phot1-5,15C,,0.192,5.7892043,30.15210573
3,5,phot1-5,15C,,0.191,4.2627201,22.31790628
3,6,phot1-5,15C,,0.19,5.870226,30.89592632
1,1,Tsu-0,15C,,0.138,8.627391,62.51732609
1,2,Tsu-0,15C,,0.134,7.289901,54.40224627
1,3,Tsu-0,15C,,0.135,7.021028,52.00761481
1,4,Tsu-0,15C,,0.144,6.028653,41.86564583
2,1,Tsu-0,15C,,0.121,8.9992071,74.3736124
2,2,Tsu-0,15C,,0.136,8.907631,65.49728676
2,3,Tsu-0,15C,,0.123,10.028361,81.53139024
2,4,Tsu-0,15C,,0.133,9.528361,71.64181203
3,1,Tsu-0,15C,,0.135,8.982631,66.53800741
3,2,Tsu-0,15C,,0.149,10.97641,73.66718121
3,3,Tsu-0,15C,,0.139,6.702736,48.2211223
1,1,Tsu-0,25C,,0.216,10.128391,46.89069907
1,2,Tsu-0,25C,,0.211,12.283645,58.21632701
1,3,Tsu-0,25C,,0.198,16.483733,83.25117677
1,4,Tsu-0,25C,,0.186,13.46273,72.38026882
1,5,Tsu-0,25C,,0.188,15.728331,83.66133511
1,6,Tsu-0,25C,,0.204,15.2677372,74.84184902
2,1,Tsu-0,25C,,0.191,14.9286351,78.16039319
2,2,Tsu-0,25C,,0.181,16.928366,93.52688398
2,3,Tsu-0,25C,,0.179,13.128365,73.34282123
2,4,Tsu-0,25C,,0.192,14.193751,73.92578646
3,1,Tsu-0,25C,,0.19,15.029751,79.10395263
3,2,Tsu-0,25C,,0.182,15.6273809,85.86473022
3,3,Tsu-0,25C,,0.183,11.273644,61.60461202
3,4,Tsu-0,25C,,0.173,16.092864,93.02233526
3,5,Tsu-0,25C,,0.189,15.2837651,80.86648201
1,1,YUCCAQ,15C,,0.134,8.2783192,61.77850149
1,2,YUCCAQ,15C,,0.122,9.2893645,76.14233197
1,3,YUCCAQ,15C,,0.135,5.3273564,39.46189926
1,4,YUCCAQ,15C,,0.122,6.2229361,51.00767295
1,5,YUCCAQ,15C,,0.126,9.293861,73.76080159
1,6,YUCCAQ,15C,,0.122,6.2876541,51.53814836
1,7,YUCCAQ,15C,,0.121,7.235485,59.79739669
1,8,YUCCAQ,15C,,0.118,7.283641,61.72577119
1,9,YUCCAQ,15C,,0.101,7.1028361,70.3251099
1,10,YUCCAQ,15C,,0.125,9.4183546,75.3468368
1,11,YUCCAQ,15C,,0.139,7.2937641,52.47312302
2,1,YUCCAQ,15C,,0.136,7.289631,53.60022794
2,2,YUCCAQ,15C,,0.127,7.592761,59.78551969
2,3,YUCCAQ,15C,,0.127,8.726366,68.71154331
2,4,YUCCAQ,15C,,0.129,6.928641,53.71039535
2,5,YUCCAQ,15C,,0.118,7.9182641,67.10393305
2,6,YUCCAQ,15C,,0.119,5.5273019,46.44791513
2,7,YUCCAQ,15C,,0.118,7.6778293,65.06635
2,8,YUCCAQ,15C,,0.12,9.99371,83.28091667
2,9,YUCCAQ,15C,,0.121,8.219273,67.92787603
3,1,YUCCAQ,15C,,0.125,7.30481,58.43848
3,2,YUCCAQ,15C,,0.128,7.362733,57.52135156
3,3,YUCCAQ,15C,,0.162,6.827312,42.14390123
3,4,YUCCAQ,15C,,0.126,7.649172,60.70771429
3,5,YUCCAQ,15C,,0.121,8.0273641,66.34185207
3,6,YUCCAQ,15C,,0.122,7.293861,59.7857459
1,1,YUCCAQ,25C,,0.182,10.98271,60.34456044
1,2,YUCCAQ,25C,,0.162,12.08261,74.58401235
1,3,YUCCAQ,25C,,0.177,11.076253,62.57770056
1,4,YUCCAQ,25C,,0.182,11.3889281,62.57652802
2,1,YUCCAQ,25C,,0.17,10.927361,64.27859412
2,2,YUCCAQ,25C,,0.159,11.4009273,71.70394528
2,3,YUCCAQ,25C,,0.175,11.209374,64.05356571
2,4,YUCCAQ,25C,,0.179,11.029731,61.61860894
2,5,YUCCAQ,25C,,0.188,11.302371,60.11899468
3,1,YUCCAQ,25C,,0.161,11.2998371,70.1853236
3,2,YUCCAQ,25C,,0.177,11.2928361,63.8013339
3,3,YUCCAQ,25C,,0.163,11.283771,69.22558896
1,1,YUCCAQ,25C,,0.189,11.1482731,58.98557196
1,2,YUCCAQ,25C,,0.193,11.092837,57.47583938
1,3,YUCCAQ,25C,,0.174,11.11028371,63.85220523
2,1,YUCCAQ,25C,,0.179,11.209371,62.62218436
2,2,YUCCAQ,25C,,0.181,11.0200927,60.88449006
1,1,spy-3,15C,,0.162,4.2937102,26.50438395
1,2,spy-3,15C,,0.101,3.778212,37.4080396
1,3,spy-3,15C,,0.13,3.920391,30.15685385
1,4,spy-3,15C,,0.085,1.0293712,12.11024941
1,5,spy-3,15C,,0.135,4.88276351,36.16861859
2,1,spy-3,15C,,0.166,3.1102938,18.73670964
2,2,spy-3,15C,,0.159,3.0297361,19.05494403
2,3,spy-3,15C,,0.143,4.8898722,34.19491049
2,4,spy-3,15C,,0.132,3.994755,30.26329545
2,5,spy-3,15C,,0.158,5.7839271,36.60713354
2,6,spy-3,15C,,0.178,3.5582763,19.99031629
